codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_funcao,codigo_subfuncao,codigo_programa,codigo_projeto_atividade,numero_projeto_atividade,numero_subprojeto_atividade,codigo_tipo_orcamento,nome_projeto_atividade,descricao_projeto_atividade,valor_total_fixado_projeto_atividade
48,201000,1,1,1,31,1,2,1,0,F,MANUTENCAO DO PODER LEGISLATIVO MUNICIPAL,MANUTENCAO DO PODER LEGISLATIVO MUNICIPAL,2600000.0
48,201000,2,2,4,122,37,2,2,0,F,CUSTEIO DAS ATIVIDADES DO GABINETE DO PREFEITO,CUSTEIO DAS ATIVIDADES DO GABINETE DO PREFEITO,672000.0
48,201000,2,2,4,122,37,2,3,0,F,MANUTENCAO DA CONTROLADORIA INTERNA,MANUTENCAO DA CONTROLADORIA INTERNA,4000.0
48,201000,3,3,4,122,37,2,4,0,F,MANUTENCAO DO GABINETE DO VICE-PREFEITO,MANUTENCAO DO GABINETE DO VICE-PREFEITO,27000.0
48,201000,4,4,4,122,37,2,5,0,F,MANUTENCAO DA PROCURADORIA MUNICIPAL,MANUTENCAO DA PROCURADORIA MUNICIPAL,996000.0
48,201000,5,5,4,122,37,2,6,0,F,CUSTEIO ADMINISTRATIVO DA SECRETARIA,CUSTEIO ADMINISTRATIVO DA SECRETARIA,680000.0
48,201000,6,6,4,123,37,2,7,0,F,CUSTEIO ADMINISTRATIVO DA SECRETARIA,CUSTEIO ADMINISTRATIVO DA SECRETARIA,1196000.0
48,201000,6,6,28,843,962,2,8,0,F,AMORTIZACAO DA DIVIDA INTERNA,AMORTIZACAO DA DIVIDA INTERNA,1000000.0
48,201000,7,7,8,122,37,2,9,0,S,MANUTENCAO DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,MANUTENCAO DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,1895000.0
48,201000,7,7,8,241,121,2,10,0,S,MANUTENCAO DO CONSELHO MUNICIPAL DOS DIREITOS DO IDOSO - CMDI,MANUTENCAO DAS ATIVIDADES LIGADA AO IDOSO,35500.0
48,201000,7,7,8,243,131,2,11,0,S,MANUTENCAO DO CONSELHO MUNICIPAL DOS DIREITOS DA MULHER,MANUTENCAO DO FUNDO ESPECIAL DOS DIREITOS DA MULHER,8000.0
48,201000,7,7,8,243,131,2,12,0,S,MANUTENCAO DAS ATIVIDADES DO CONSELHO TUTELAR DE CRATEUS,MANUTENCAO DAS ATIVIDADES DO CONSELHO TUTELAR,128000.0
48,201000,7,7,8,243,131,2,13,0,S,MANUT. FUNDO MUNIC. DOS DIR. CRIANCA E DO ADOLESCENTE,MANUT. FUNDO MUNIC. DOS DIR. CRIANCA E DO ADOLESCENTE,8500.0
48,201000,7,7,8,243,131,2,14,0,S,MANUTENCAO DO CONSELHO MUNICIPAL DE ASSISTENCIA SOCIAL - CMAS,MANUT DO PROGRAMA DE ATENCAO INTEGRAL A FAMILIA - PAIF,23000.0
48,201000,7,7,8,244,137,1,1,0,S,CONSTRUCAO DE CASAS POPULARES,CONSTRUCAO DE CASAS POPULARES,50000.0
48,201000,7,7,8,244,137,1,2,0,S,CONSTRUCAO DE UNIDADES DE INTERNACAO RESTRITIVA E PROVI,CONSTRUCAO DE UNIDADES DE INTERNACAO RESTRITIVA E PROVI,50000.0
48,201000,7,7,8,244,137,1,3,0,S,CONSTRUCAO DO CENTRO ESP. REFERENCIA ASSIS.SOCIAL,CONSTRUCAO DO CENTRO ESP. REFERENCIA ASSIS.SOCIAL,50000.0
48,201000,7,7,8,244,137,1,4,0,S,CONSTRUCAO DE CENTRO DE REF. ASSIST. SOCIAL - CRAS,CONSTRUCAO DE CENTRO DE REF. ASSIST. SOCIAL - CRAS,50000.0
