codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_elemento_despesa,nome_elemento_despesa,valor_total_fixado
48,201000,1,1,31900300,PENSOES,70000.0
48,201000,1,1,31900400,CONTRATACAO POR TEMPO DETERMINADO,20000.0
48,201000,1,1,31901100,VENCIMENTOS E VANT. FIXAS PESSOAL CIVIL,1415000.0
48,201000,1,1,31901300,OBRIGACOES PATRONAIS,240000.0
48,201000,1,1,31909200,DESPESAS DE EXERCICIOS ANTERIORES,10000.0
48,201000,1,1,31909400,INDENIZACOES E RESTITUICOES TRABALHISTAS,10000.0
48,201000,1,1,33901400,DIARIAS - CIVIL,50000.0
48,201000,1,1,33903000,MATERIAL DE CONSUMO,90000.0
48,201000,1,1,33903300,PASSAGENS E DESPESAS COM LOCOMOCAO,10000.0
48,201000,1,1,33903500,SERVICOS DE CONSULTORIA,30000.0
48,201000,1,1,33903600,OUTROS SERV. DE TERCEIROS PESSOA FISICA,180000.0
48,201000,1,1,33903900,OUTROS SERV. DE TERC. PESSOA JURIDICA,340000.0
48,201000,1,1,33909200,DESPESAS DE EXERCICIOS ANTERIORES,20000.0
48,201000,1,1,44905100,OBRAS E INSTALACOES,40000.0
48,201000,1,1,44905200,EQUIPAMENTOS E MATERIAL PERMANENTE,60000.0
48,201000,1,1,46907100,PRINCIPAL DA DIVIDA CONTRATUAL RESGATADO,15000.0
48,201000,2,2,31900400,CONTRATACAO POR TEMPO DETERMINADO,5000.0
48,201000,2,2,31901100,VENCIMENTOS E VANT. FIXAS PESSOAL CIVIL,300000.0
48,201000,2,2,31901300,OBRIGACOES PATRONAIS,75000.0
48,201000,2,2,31901600,OUTRAS DESP. VARIAVEIS PESSOAL CIVIL,2000.0
48,201000,2,2,31909200,DESPESAS DE EXERCICIOS ANTERIORES,10000.0
48,201000,2,2,33901400,DIARIAS - CIVIL,30000.0
48,201000,2,2,33903000,MATERIAL DE CONSUMO,51000.0
48,201000,2,2,33903100,PREMIACOES CULT.ART.CIENT.DESP.E OUTRAS,5000.0
48,201000,2,2,33903200,MATERIAL DE DISTRIBUICAO GRATUITA,5000.0
48,201000,2,2,33903600,OUTROS SERV. DE TERCEIROS PESSOA FISICA,31000.0
48,201000,2,2,33903900,OUTROS SERV. DE TERC. PESSOA JURIDICA,126000.0
48,201000,2,2,33909200,DESPESAS DE EXERCICIOS ANTERIORES,6000.0
48,201000,2,2,44905200,EQUIPAMENTOS E MATERIAL PERMANENTE,30000.0
48,201000,3,3,31900400,CONTRATACAO POR TEMPO DETERMINADO,1000.0
48,201000,3,3,31901100,VENCIMENTOS E VANT. FIXAS PESSOAL CIVIL,10000.0
48,201000,3,3,31901300,OBRIGACOES PATRONAIS,2000.0
48,201000,3,3,33901400,DIARIAS - CIVIL,10000.0
48,201000,3,3,33903000,MATERIAL DE CONSUMO,1000.0
48,201000,3,3,33903600,OUTROS SERV. DE TERCEIROS PESSOA FISICA,1000.0
