modelo,fold,accuracy,precision,recall,f1,best_params
KNN,2,0.70655,0.7046547956441447,0.6696323020924441,0.67289751204393,"{'metric': 'manhattan', 'n_neighbors': 11}"
KNN,3,0.69985,0.6918427815200221,0.6643728610852959,0.6678591489634593,"{'metric': 'manhattan', 'n_neighbors': 9}"
KNN,4,0.7019,0.691577480700433,0.6661757157371855,0.6701389713034294,"{'metric': 'manhattan', 'n_neighbors': 9}"
KNN,5,0.7023,0.6961225517680818,0.6647731064673261,0.6682431118042778,"{'metric': 'manhattan', 'n_neighbors': 11}"
KNN,6,0.70475,0.6976293630955486,0.6699341576561577,0.6737503946038702,"{'metric': 'manhattan', 'n_neighbors': 9}"
DT,2,0.8456,0.8426907126206968,0.8554262348106719,0.8435886184543306,"{'class_weight': 'balanced', 'max_depth': 8}"
DT,3,0.8478,0.844549421949446,0.8583439607305383,0.8456323305942877,"{'class_weight': 'balanced', 'max_depth': 7}"
DT,4,0.8433,0.8388539936665924,0.8532603917537345,0.8406188763944056,"{'class_weight': 'balanced', 'max_depth': 7}"
DT,5,0.8424,0.8395917396313994,0.8534981225920895,0.8402504095103716,"{'class_weight': 'balanced', 'max_depth': 8}"
DT,6,0.8465,0.8431613643437641,0.8567908950816621,0.8442988197170926,"{'class_weight': 'balanced', 'max_depth': 6}"
LR,2,0.84275,0.8361013412605152,0.844229824507097,0.8388969593942296,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
LR,3,0.84215,0.834775490254391,0.8422836972644054,0.8375962805011012,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
LR,4,0.8396,0.8315835587455962,0.8401918192496143,0.8347100624886646,"{'C': 10, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
LR,5,0.8396,0.8320731210584416,0.8393924908330768,0.8348553530056917,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
LR,6,0.8453,0.8380107947617372,0.8454242313232823,0.8408234311942715,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
RF,2,0.84495,0.8386771754643614,0.8480518710755451,0.8415279056569476,"{'class_weight': 'balanced', 'max_depth': None, 'n_estimators': 100}"
RF,3,0.8456,0.8412819996097922,0.8544519837447064,0.8431011600392962,"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 100}"
RF,4,0.84415,0.8364549675750166,0.8464160378321022,0.8397746358545118,"{'class_weight': 'balanced', 'max_depth': None, 'n_estimators': 100}"
RF,5,0.84355,0.8362911883669183,0.8450871598932067,0.8393361400113295,"{'class_weight': 'balanced', 'max_depth': None, 'n_estimators': 100}"
RF,6,0.84595,0.8388217868853765,0.8474175323922293,0.8418322899102931,"{'class_weight': 'balanced', 'max_depth': None, 'n_estimators': 100}"
SVM,2,0.84155,0.836497884953173,0.8477362288501563,0.8387898037557351,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}"
SVM,3,0.8446,0.8383430737334414,0.8495023078657404,0.8412625450088103,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'linear'}"
SVM,4,0.84115,0.8345574324625336,0.8469563253109491,0.8375754045767503,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}"
SVM,5,0.84015,0.8336577891037021,0.8445767503465674,0.8365973815627398,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'linear'}"
SVM,6,0.84385,0.8378632185890376,0.8493150203519164,0.8406527414765921,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'linear'}"
