tecnica,model,fold,accuracy,precision,recall,f1,best_params,configuracao
Bag of Words,DT,1,0.566,0.5359477124183006,0.984,0.693935119887165,"{'class_weight': 'balanced', 'max_depth': 10}","{'ngram_range': (1, 1), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,DT,2,0.561,0.5332425068119891,0.9785,0.690299823633157,"{'class_weight': 'balanced', 'max_depth': 10}","{'ngram_range': (1, 1), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,DT,3,0.568,0.5371787862219792,0.9825,0.694591728525981,"{'class_weight': 'balanced', 'max_depth': 10}","{'ngram_range': (1, 1), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,DT,4,0.57275,0.5399615490249932,0.983,0.6970395319978727,"{'class_weight': 'balanced', 'max_depth': 10}","{'ngram_range': (1, 1), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,DT,5,0.56,0.5324324324324324,0.985,0.6912280701754386,"{'class_weight': 'balanced', 'max_depth': 10}","{'ngram_range': (1, 1), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,LR,1,0.705,0.6721242653232578,0.8005,0.7307165677772707,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 1), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,LR,2,0.69075,0.6646525679758308,0.77,0.7134584201992125,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 1), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,LR,3,0.7035,0.6734867860187553,0.79,0.7271053842613898,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 1), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,LR,4,0.6995,0.6740837696335078,0.7725,0.7199440820130475,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 1), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,LR,5,0.70325,0.6715913887716336,0.7955,0.7283131151293202,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 1), 'min_df': 5, 'max_df': 0.9}"
